snapshot_id,source_revision,pad_id,legacy_id,pad_name,county,township,record_revision,has_reviewed_directions,has_structured_sequence,selected_destination_source,selected_latitude,selected_longitude,verified_entrance_latitude,verified_entrance_longitude,saved_pad_latitude,saved_pad_longitude,odnr_pad_latitude,odnr_pad_longitude,odnr_wellhead_latitude,odnr_wellhead_longitude,public_google_route,public_google_handoff
098667bf-a39f-4e7b-86e1-0706c882943c,6,73e32bb0-be54-47c7-a2bf-3472dd16fd33,ascent--ross,ROSS,Belmont,Wheeling,1786265812046205,true,true,saved_pad_reference,40.105598,-80.954744,,,40.105598,-80.954744,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,553870dd-59f1-43c2-845a-ec8d1c28e136,ascent--schnegg,SCHNEGG,Belmont,YORK,1786258360881449,true,true,saved_pad_reference,39.86371,-80.863685,,,39.86371,-80.863685,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,f68bb21b-696f-4154-9a2f-09a0285984f0,ascent--seabright,SEABRIGHT,Belmont,COLERAIN,1786265812046205,true,true,saved_pad_reference,40.105655,-80.802137,,,40.105655,-80.802137,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,69c63442-de05-4d15-95da-07da587bc070,ascent--shutway,SHUTWAY,Belmont,Union,1787615581785257,true,true,saved_pad_reference,40.113559,-81.076149,,,40.113559,-81.076149,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,5a0ede1b-4586-4edc-9438-7cb29a24e58e,ascent--sidwell,SIDWELL,Belmont,WHEELING,1787459253071652,true,true,saved_pad_reference,40.146316,-80.979282,,,40.146316,-80.979282,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,7997ba1f-ec1f-4e2f-a67f-8d36837aca67,ascent--skyline,SKYLINE,Belmont,Wheeling,1787459253071652,true,true,official_pad_reference,40.163318,-81.007131,,,,,40.163318,-81.007131,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,59d66423-1e09-4ac8-b2ab-ae2d06d11f12,ascent--smith,SMITH,Belmont,COLERAIN,1786265812046205,true,true,saved_pad_reference,40.112328,-80.81926,,,40.112328,-80.81926,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,160d3e78-8db6-44dd-8b2c-4bdeb0f678b9,ascent--sophia-joe,SOPHIA JOE,Belmont,COLERAIN,1786258360881449,true,true,saved_pad_reference,40.125229,-80.856075,,,40.125229,-80.856075,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,d70f5f1d-7f44-4a5e-9b05-06264f56470d,ascent--three-dads,THREE DADS,Belmont,RICHLAND,1786265812046205,true,true,saved_pad_reference,40.099252,-80.855031,,,40.099252,-80.855031,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,cd4f6dcc-b603-4155-84b2-30d7ee87bbc7,ascent--truchan-ne,TRUCHAN NE,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.146637,-80.931651,,,40.146637,-80.931651,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,c10e2066-d6b7-4117-aea9-137dd1237b3a,ascent--truchan-nw,TRUCHAN NW,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.147814,-80.935886,,,40.147814,-80.935886,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,ce5d219e-1d2c-47c8-b921-3f2abfe45c5d,ascent--vannelle,VANNELLE,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.14744,-80.961696,,,40.14744,-80.961696,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,55f7328d-0da2-430d-8ecb-89ad91260f61,ascent--violet,VIOLET,Belmont,PULTNEY,1786265812046205,true,true,saved_pad_reference,40.014235,-80.793111,,,40.014235,-80.793111,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,a26bd78e-5be2-4484-908e-3df512de2296,ascent--wassmann,WASSMANN,Belmont,PULTNEY,1786265812046205,true,true,saved_pad_reference,39.991086,-80.787849,,,39.991086,-80.787849,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,ebe8e078-ab41-4151-84fb-4186772b4a07,ascent--west,WEST,Belmont,YORK,1786265812046205,true,true,saved_pad_reference,39.92022,-80.86322,,,39.92022,-80.86322,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,25dc9adf-e09a-4cfa-8900-59492fbad0ec,ascent--wheeling-valley,WHEELING VALLEY,Belmont,WHEELING,1786258360881449,true,true,saved_pad_reference,40.153061,-80.923517,,,40.153061,-80.923517,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,f90abbf8-d7a6-4437-9668-23aadb80eeef,ascent--wise,WISE,Belmont,PULTNEY,1787459253071652,true,true,saved_pad_reference,40.046772,-80.782373,,,40.046772,-80.782373,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,f2df293f-13a2-401e-96b2-21e71ac63e6a,ascent--withey,WITHEY,Belmont,Warren,1786246617744175,true,true,verified_driver_entrance,39.962005,-81.216813,39.962005,-81.216813,,,,,,,false,false
098667bf-a39f-4e7b-86e1-0706c882943c,6,a2e0fe73-db17-44fd-86ce-5a0759971607,ascent--wright,WRIGHT,Belmont,RICHLAND,1786265812046205,true,true,saved_pad_reference,40.006933,-80.845086,,,40.006933,-80.845086,,,,,false,false
