record_id,pad_name,company,state,original_step,standardized_display,review_reason
swn--ross,ROSS,Swn,Ohio,US-40 / West/national Rd,US-40 / West/National Rd,slash/alias road name needs source verification
swn--roth,ROTH,Swn,Ohio,CR-10A / Griffith Rd,CR-10A / Griffith Rd,slash/alias road name needs source verification
swn--dnr-c,DNR-C,Swn,West Virginia,ALT-27,ALT-27,local name lacks a recognized road-type suffix
disposals--sos,SOS,Disposals,Ohio,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
disposals--ego,EGO,Disposals,Ohio,LEFT,LEFT,local name lacks a recognized road-type suffix
disposals--ego,EGO,Disposals,Ohio,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
disposals--pattison,PATTISON,Disposals,Ohio,RIGHT,RIGHT,local name lacks a recognized road-type suffix
disposals--pattison,PATTISON,Disposals,Ohio,FIRST ROAD RIGHT,FIRST ROAD RIGHT,local name lacks a recognized road-type suffix
disposals--pattison,PATTISON,Disposals,Ohio,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
disposals--spartan-sugar-tree,SPARTAN SUGAR TREE,Disposals,Ohio,WOODSFIELD,WOODSFIELD,local name lacks a recognized road-type suffix
disposals--spartan-sugar-tree,SPARTAN SUGAR TREE,Disposals,Ohio,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
disposals--valley-grove,VALLEY GROVE,Disposals,West Virginia,EXIT 11 DALLAS PIKE / CR-41,EXIT 11 DALLAS PIKE / CR-41,slash/alias road name needs source verification
disposals--valley-grove,VALLEY GROVE,Disposals,West Virginia,RIGHT,RIGHT,local name lacks a recognized road-type suffix
disposals--valley-grove,VALLEY GROVE,Disposals,West Virginia,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
disposals--mud-master,MUD MASTER,Disposals,West Virginia,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
disposals--antero-pioneer,ANTERO PIONEER,Disposals,West Virginia,DISPOSAL,DISPOSAL,local name lacks a recognized road-type suffix
ascent--cross-creek,CROSS CREEK,Ascent,Ohio,Bloomingdale- Smithfield- Chandl/high St,Bloomingdale- Smithfield- Chandl/High St,slash/alias road name needs source verification
ascent--cross-creek,CROSS CREEK,Ascent,Ohio,Bloomingdale- Smithfield- Chandl/high St,Bloomingdale- Smithfield- Chandl/High St,slash/alias road name needs source verification
ascent--cross-creek,CROSS CREEK,Ascent,Ohio,Bloomingdale- Smithfield- Chandl/high St,Bloomingdale- Smithfield- Chandl/High St,slash/alias road name needs source verification
ascent--miller-farms,MILLER FARMS,Ascent,Ohio,SR-800 / Smyrna Rd,SR-800 / Smyrna Rd,slash/alias road name needs source verification
ascent--prosser-e,PROSSER E,Ascent,Ohio,SR-40 / National Rd,SR-40 / National Rd,slash/alias road name needs source verification
ascent--prosser-e,PROSSER E,Ascent,Ohio,Left/north On Pancoast Rd,Left/North On Pancoast Rd,slash/alias road name needs source verification
ascent--r-hoover,R HOOVER,Ascent,Ohio,US-250 / W/cadiz Pike,US-250 / W/Cadiz Pike,slash/alias road name needs source verification
ascent--rock-ridge,ROCK RIDGE,Ascent,Ohio,Douglas/fairview Rd,Douglas/Fairview Rd,slash/alias road name needs source verification
ascent--weidinger-w,WEIDINGER W,Ascent,Ohio,CR-11 / Piney Fork Rd,CR-11 / Piney Fork Rd,slash/alias road name needs source verification
ascent--wheeling-valley,WHEELING VALLEY,Ascent,Ohio,OH-9 / N Toward Shepherdstown Rd,OH-9 / N Toward Shepherdstown Rd,slash/alias road name needs source verification
chesapeake--huffman-trust,HUFFMAN TRUST,Chesapeake,Ohio,That To Depot Rd,That to Depot Rd,step may contain narrative rather than an official road name
